Date : 2022-04-23 11:52:28
Directory : /Users/danielspaude/code/boxtribute/boxtribute/react
Total : 146 files,  -5657 codes, -1498 comments, -1446 blanks, all -8601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/inputs.graphql                         | GraphQL            |        -74 |         -8 |         -9 |        -91 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/mutations.graphql                      | GraphQL            |        -15 |         -5 |         -3 |        -23 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/pagination.py                          | Python             |       -102 |        -80 |        -31 |       -213 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/queries.graphql                        | GraphQL            |        -33 |         -6 |         -1 |        -40 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/resolvers.py                           | Python             |       -522 |        -70 |       -185 |       -777 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/scalars.py                             | Python             |        -14 |          0 |         -9 |        -23 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/schema.py                              | Python             |        -28 |          0 |         -4 |        -32 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/types.graphql                          | GraphQL            |       -364 |       -142 |        -74 |       -580 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/main.py                                         | Python             |        -15 |         -1 |         -3 |        -19 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/__init__.py                              | Python             |          0 |          0 |         -1 |         -1 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/crud.py                                  | Python             |       -171 |        -32 |        -31 |       -234 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/__init__.py                  | Python             |          0 |          0 |         -1 |         -1 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/base.py                      | Python             |        -97 |          0 |         -6 |       -103 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/beneficiary.py               | Python             |        -94 |          0 |         -5 |        -99 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/box.py                       | Python             |        -93 |         -6 |         -5 |       -104 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/box_state.py                 | Python             |         -6 |          0 |         -5 |        -11 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/history.py                   | Python             |        -23 |          0 |         -5 |        -28 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/language.py                  | Python             |        -13 |          0 |         -5 |        -18 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/location.py                  | Python             |        -52 |          0 |         -5 |        -57 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/log.py                       | Python             |         -9 |          0 |         -5 |        -14 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/organisation.py              | Python             |        -25 |          0 |         -5 |        -30 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/product.py                   | Python             |        -63 |          0 |         -5 |        -68 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/product_category.py          | Python             |        -15 |          0 |         -5 |        -20 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/product_gender.py            | Python             |        -34 |          0 |         -5 |        -39 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/qr_code.py                   | Python             |        -12 |          0 |         -6 |        -18 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/shipment.py                  | Python             |        -36 |          0 |         -4 |        -40 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/shipment_detail.py           | Python             |        -24 |          0 |         -4 |        -28 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/size.py                      | Python             |        -35 |          0 |         -5 |        -40 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/size_range.py                | Python             |         -7 |          0 |         -5 |        -12 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/transaction.py               | Python             |        -36 |         -3 |         -5 |        -44 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/transfer_agreement.py        | Python             |        -44 |          0 |         -4 |        -48 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/transfer_agreement_detail.py | Python             |        -10 |          0 |         -3 |        -13 |
